stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\nilo1\source\repos\jogo2d-ARMENIA\Armenia-Jogo2d\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.08683] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08692] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08699] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08706] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08713] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08720] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08726] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08734] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08741] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08748] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08755] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08763] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08769] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08777] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08784] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08791] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08797] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08804] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08811] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08817] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08824] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08831] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08838] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08845] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08854] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08861] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08867] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08874] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08880] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08887] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.08894] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08900] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08912] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08917] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08938] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08945] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08952] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08959] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08965] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08971] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08978] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.08986] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.08998] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09004] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09016] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09023] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09030] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09037] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09043] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09050] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09056] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09063] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09070] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09077] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09083] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09089] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09096] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09103] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.09111] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.09302] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.09312] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.14603] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.17760] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.17781] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.17794] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.17804] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.17814] Returning d3d_display: 0000016002FC8760
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.17822] al_display=0000016002FC8760
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.17831] al_display->vt=0000016002F90C40
system   D            wsystem.c:836  maybe_parent_dir                 [   0.17865] Also searching C:\Users\nilo1\source\repos\jogo2d-ARMENIA\Armenia-Jogo2d\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.17896] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:797  load_library_at_path             [   0.17944] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:800  load_library_at_path             [   0.23433] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.23461] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.23500] added dtor for bitmap 000001600A2407E0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.23596] added dtor for bitmap 000001600A245570, func 00007FFB45C4118B
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23968] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23989] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.23997] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24003] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24009] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24017] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24023] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24029] Fake format
d3d      D         d3d_disp.cpp:1197 real_choose_bitmap_format        [   0.24035] Fake format
d3d      D         d3d_disp.cpp:1205 real_choose_bitmap_format        [   0.24041] Alpha doesn't match
d3d      D         d3d_disp.cpp:1212 real_choose_bitmap_format        [   0.24048] Adapter format is 23
d3d      D         d3d_disp.cpp:1215 real_choose_bitmap_format        [   0.24055] Found a format
d3d      I         d3d_disp.cpp:2386 d3d_create_bitmap                [   0.24063] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.24107] added dtor for bitmap 000001600A245AA0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24179] added dtor for sub_bitmap 000001600A470890, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24196] added dtor for sub_bitmap 000001600A470A80, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24204] added dtor for sub_bitmap 000001600A470C70, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24212] added dtor for sub_bitmap 000001600A470E60, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24219] added dtor for sub_bitmap 000001600A471050, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24226] added dtor for sub_bitmap 000001600A472650, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24232] added dtor for sub_bitmap 000001600A472840, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24239] added dtor for sub_bitmap 000001600A472A30, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24245] added dtor for sub_bitmap 000001600A472C20, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24254] added dtor for sub_bitmap 000001600A472E10, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24261] added dtor for sub_bitmap 000001600A259F50, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24268] added dtor for sub_bitmap 000001600A25A140, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24276] added dtor for sub_bitmap 000001600A25A380, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24283] added dtor for sub_bitmap 000001600A25AB40, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24290] added dtor for sub_bitmap 000001600A25A760, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24309] added dtor for sub_bitmap 000001600A25AF20, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24317] added dtor for sub_bitmap 000001600A25B110, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24325] added dtor for sub_bitmap 000001600A25AD30, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24334] added dtor for sub_bitmap 000001600A25A950, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24341] added dtor for sub_bitmap 000001600A25A570, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24350] added dtor for sub_bitmap 000001600A25C8E0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24358] added dtor for sub_bitmap 000001600A25B770, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24365] added dtor for sub_bitmap 000001600A25CCC0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24372] added dtor for sub_bitmap 000001600A25CEB0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24379] added dtor for sub_bitmap 000001600A25C500, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24386] added dtor for sub_bitmap 000001600A25D0A0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24394] added dtor for sub_bitmap 000001600A25C310, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24401] added dtor for sub_bitmap 000001600A25B960, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24408] added dtor for sub_bitmap 000001600A25BB50, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24415] added dtor for sub_bitmap 000001600A25BF30, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24423] added dtor for sub_bitmap 000001600A25CAD0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24431] added dtor for sub_bitmap 000001600A25B390, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24439] added dtor for sub_bitmap 000001600A25B580, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24445] added dtor for sub_bitmap 000001600A25BD40, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24452] added dtor for sub_bitmap 000001600A25C120, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24460] added dtor for sub_bitmap 000001600A25C6F0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24468] added dtor for sub_bitmap 000001600A4745A0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24475] added dtor for sub_bitmap 000001600A474790, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24481] added dtor for sub_bitmap 000001600A474980, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24488] added dtor for sub_bitmap 000001600A474B70, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24496] added dtor for sub_bitmap 000001600A474D60, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24503] added dtor for sub_bitmap 000001600A4743B0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24510] added dtor for sub_bitmap 000001600A4741C0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24518] added dtor for sub_bitmap 000001600A473050, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24527] added dtor for sub_bitmap 000001600A473240, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24535] added dtor for sub_bitmap 000001600A473A00, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24542] added dtor for sub_bitmap 000001600A473430, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24549] added dtor for sub_bitmap 000001600A473620, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24557] added dtor for sub_bitmap 000001600A473810, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24564] added dtor for sub_bitmap 000001600A473BF0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24571] added dtor for sub_bitmap 000001600A473DE0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24578] added dtor for sub_bitmap 000001600A473FD0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24588] added dtor for sub_bitmap 000001600A476070, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24596] added dtor for sub_bitmap 000001600A477D80, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24603] added dtor for sub_bitmap 000001600A476260, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24610] added dtor for sub_bitmap 000001600A4777B0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24617] added dtor for sub_bitmap 000001600A476FF0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24624] added dtor for sub_bitmap 000001600A477B90, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24631] added dtor for sub_bitmap 000001600A476450, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24638] added dtor for sub_bitmap 000001600A4773D0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24646] added dtor for sub_bitmap 000001600A476640, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24654] added dtor for sub_bitmap 000001600A476830, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24662] added dtor for sub_bitmap 000001600A476A20, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24669] added dtor for sub_bitmap 000001600A476C10, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24676] added dtor for sub_bitmap 000001600A476E00, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24682] added dtor for sub_bitmap 000001600A4771E0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24689] added dtor for sub_bitmap 000001600A4779A0, func 00007FFB45C4118B
dtor     D               dtor.c:196  _al_register_destructor          [   0.24696] added dtor for sub_bitmap 000001600A4775C0, func 00007FFB45C4118B
